Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
						PG 14:0/17:0	[3.7159785E-4..5.6109583E-4]	[1.32295E-4..4.0937963E-4]	[2.4160853E-4..5.4020865E-4]	[2.1217315E-4..4.3916836E-4]	[1.32295E-4..5.6109583E-4]	
						PG 16:0/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:0/16:0	[0.09670932..0.10954017]	[0.09251017..0.10973047]	[0.09271288..0.11003593]	[0.090004385..0.11145572]	[0.090004385..0.11145572]	
PG 32:0:0	1.8755442	1.833596	1.9343721	1.8305136	[1.8305136..1.9343721]	Sum	[1.7036278..1.8529923]	[1.5822512..1.8618245]	[1.5580597..1.8610721]	[1.6318265..1.8038408]	[1.5580597..1.8618245]	
						PG 18:0/14:0	[5.3152954E-4..0.003259136]	[7.322157E-4..0.013936249]	[0.0023391147..0.009071262]	[0.0010101467..0.013267147]	[5.3152954E-4..0.013936249]	
						PG 14:0/18:0	[0.0065708053..0.010848431]	[0.0..0.009643883]	[0.0048704855..0.013023263]	[0.0..0.0074959383]	[0.0..0.013023263]	
						PG 16:0/16:0	[1.693293..1.8414845]	[1.5798507..1.8478884]	[1.5473042..1.84501]	[1.6294857..1.7905736]	[1.5473042..1.8478884]	
PG 32:1:0	3.3700707	3.4136586	3.4168532	3.3883982	[3.3700707..3.4168532]	Sum	[3.1181285..3.3930535]	[3.0950162..3.2481632]	[2.8450332..3.2451024]	[3.010448..3.3590133]	[2.8450332..3.3930535]	
						PG 18:1/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 14:0/18:1	[0.51689273..0.56088567]	[0.51685953..0.5680794]	[0.46044818..0.5440758]	[0.5130221..0.5672278]	[0.46044818..0.5680794]	
						PG 16:0/16:1	[2.4977245..2.829428]	[2.429004..2.710049]	[2.321012..2.7097354]	[2.3968523..2.7917857]	[2.321012..2.829428]	
						PG 16:1/16:0	[0.0025990892..0.11045815]	[0.0..0.1327924]	[0.0..0.070453115]	[0.0..0.10887965]	[0.0..0.1327924]	
PG 32:2:0	0.28153315	0.27394518	0.24679984	0.2575531	[0.24679984..0.28153315]	Sum	[0.2459191..0.28021213]	[0.25317034..0.26686084]	[0.22627594..0.28189033]	[0.2584632..0.26484323]	[0.22627594..0.28189033]	
						PG 18:1/14:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 14:1/18:1	[0.0064184982..0.0076867556]	[0.0065665008..0.0074139806]	[0.0062967036..0.008340467]	[0.007231251..0.0076430165]	[0.0062967036..0.008340467]	
						PG 18:2/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 14:0/18:2	[0.16698304..0.18552612]	[0.16702233..0.17838962]	[0.1497044..0.18474741]	[0.1717138..0.1794959]	[0.1497044..0.18552612]	
						PG 16:0/16:2	[0.015716996..0.027149064]	[0.014557845..0.023331257]	[0.01320477..0.02699829]	[0.015993638..0.026068863]	[0.01320477..0.027149064]	
						PG 16:2/16:0	[0.0029331874..0.011013881]	[0.0045446446..0.011893806]	[0.0048649153..0.015715422]	[0.0021160815..0.009982606]	[0.0021160815..0.015715422]	
						PG 16:1/16:1	[0.04839446..0.056227118]	[0.04908241..0.054152142]	[0.045314915..0.055768657]	[0.051401503..0.052661818]	[0.045314915..0.056227118]	
PG 33:0:0	0.043248862	0.045937467	0.0469741	0.051577047	[0.043248862..0.051577047]	Sum	[0.05380748..0.06018547]	[0.050496694..0.059983324]	[0.05150867..0.061528884]	[0.05032155..0.05948628]	[0.05032155..0.061528884]	
						PG 18:0/15:0	[0.0..7.132491E-4]	[0.0..5.803802E-4]	[0.0..0.0]	[6.323886E-5..2.9939192E-4]	[0.0..7.132491E-4]	
						PG 15:0/18:0	[0.004778739..0.0066041583]	[0.005132601..0.00630848]	[0.0057677175..0.007428278]	[0.0050116796..0.006036719]	[0.004778739..0.007428278]	
						PG 17:0/16:0	[0.01843496..0.024088332]	[0.017646508..0.023011938]	[0.017811006..0.0266059]	[0.01588419..0.021918518]	[0.01588419..0.0266059]	
						PG 16:0/17:0	[0.026660534..0.033208635]	[0.025618792..0.03258232]	[0.023245648..0.033054177]	[0.026548646..0.034588493]	[0.023245648..0.034588493]	
PG 33:1:0	0.4263741	0.40127173	0.4061148	0.38730243	[0.38730243..0.4263741]	Sum	[0.53644603..0.563227]	[0.5248214..0.5707578]	[0.4772339..0.5800671]	[0.52682793..0.5959897]	[0.4772339..0.5959897]	
						PG 18:1/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:0/18:1	[0.29004717..0.3006112]	[0.28164035..0.3079568]	[0.25247845..0.31020993]	[0.28435323..0.3213556]	[0.25247845..0.3213556]	
						PG 17:0/16:1	[0.012996233..0.014453685]	[0.014216197..0.015499192]	[0.013018435..0.016037218]	[0.013047052..0.016297888]	[0.012996233..0.016297888]	
						PG 16:1/17:0	[0.00118969..0.0021500052]	[2.9740999E-5..6.8333105E-4]	[0.0..0.0014754242]	[2.1989412E-4..0.0018200689]	[0.0..0.0021500052]	
						PG 17:1/16:0	[0.029349597..0.043070067]	[0.034222286..0.044058513]	[0.020407094..0.04687811]	[0.01977659..0.04218787]	[0.01977659..0.04687811]	
						PG 16:0/17:1	[0.19394214..0.21658799]	[0.18753813..0.21039177]	[0.17188242..0.2313166]	[0.18810233..0.236045]	[0.17188242..0.236045]	
PG 33:2:0	0.15761624	0.17857881	0.1668538	0.1963813	[0.15761624..0.1963813]	Sum	[0.35539332..0.37891138]	[0.3476536..0.37702477]	[0.3227357..0.38069233]	[0.3448638..0.39185852]	[0.3227357..0.39185852]	
						PG 18:1/15:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:1/18:1	[0.08978584..0.09642034]	[0.08873358..0.09681324]	[0.08355761..0.09828925]	[0.092309006..0.1013056]	[0.08355761..0.1013056]	
						PG 18:2/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:0/18:2	[0.23830552..0.25383416]	[0.2300862..0.25018468]	[0.21246143..0.25189883]	[0.22434494..0.25987047]	[0.21246143..0.25987047]	
						PG 17:1/16:1	[0.005002042..0.0061392435]	[0.004326274..0.006064073]	[0.0047017927..0.0068174545]	[0.0051100175..0.006597646]	[0.004326274..0.0068174545]	
						PG 16:1/17:1	[0.0030553483..0.004033011]	[0.0035281354..0.0051906877]	[0.0019245273..0.0036076452]	[0.002743457..0.0040046847]	[0.0019245273..0.0051906877]	
						PG 17:2/16:0	[0.007314712..0.008924339]	[0.01015872..0.013209817]	[0.011090397..0.018766401]	[0.0092362845..0.011846573]	[0.007314712..0.018766401]	
						PG 16:0/17:2	[0.010294072..0.011944288]	[0.0076486864..0.010473036]	[0.004761124..0.010361662]	[0.009100171..0.011690697]	[0.004761124..0.011944288]	
PG 34:2:0	48.662018	48.383057	48.356503	48.5244	[48.356503..48.662018]	Sum	[46.112988..49.304085]	[45.735813..50.07523]	[36.582584..48.92113]	[44.480312..50.144394]	[36.582584..50.144394]	
						PG 18:1/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.014387001]	[0.0..0.12713222]	[0.0..0.12713222]	
						PG 16:1/18:1	[2.4395955..3.0765061]	[2.4816318..2.8476434]	[2.2075975..2.8774004]	[2.6070127..2.8893688]	[2.2075975..3.0765061]	
						PG 18:2/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:0/18:2	[43.67339..46.227577]	[43.254185..47.22759]	[34.36389..46.04373]	[41.75331..47.263493]	[34.36389..47.263493]	
PG 34:3:0	1.575914	1.6541654	1.5978389	1.631639	[1.575914..1.6541654]	Sum	[1.4893527..1.7300345]	[1.4970018..1.6480751]	[1.3802379..1.766215]	[1.5258884..1.6810126]	[1.3802379..1.766215]	
						PG 18:1/16:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:2/18:1	[0.031165507..0.04160891]	[0.034892146..0.039099026]	[0.035805203..0.046377394]	[0.036471914..0.04348951]	[0.031165507..0.046377394]	
						PG 18:2/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:1/18:2	[0.83709234..0.9356567]	[0.8432654..0.8681859]	[0.7489313..0.93176126]	[0.86536515..0.9099007]	[0.7489313..0.9356567]	
						PG 18:3 (6z-9z)/16:0	[0.0..0.0]	[0.0..0.01666584]	[0.0..0.0]	[0.0..0.0036200122]	[0.0..0.01666584]	
						PG 16:0/18:3 (6z-9z)	[0.6043641..0.7609753]	[0.595864..0.72460175]	[0.59550136..0.78807634]	[0.61357266..0.7240024]	[0.59550136..0.78807634]	
PG 34:4:0	0.080936804	0.06955355	0.06333028	0.085044295	[0.06333028..0.085044295]	Sum	[0.063377455..0.079951815]	[0.062873185..0.073065594]	[0.057306018..0.081977464]	[0.06645563..0.074560024]	[0.057306018..0.081977464]	
						PG 20:4 (5z-8z)/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..8.0788025E-4]	[0.0..0.0]	[0.0..8.0788025E-4]	
						PG 14:0/20:4 (5z-8z)	[0.019324321..0.024694087]	[0.0176292..0.02287548]	[0.016552191..0.02448122]	[0.020145688..0.023251578]	[0.016552191..0.024694087]	
						PG 18:1/16:3 (7z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:3 (7z)/18:1	[0.010257186..0.01351371]	[0.010783952..0.011486283]	[0.009483838..0.013414448]	[0.010529747..0.012102566]	[0.009483838..0.01351371]	
						PG 18:2/16:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:2/18:2	[0.018980471..0.02372353]	[0.019747477..0.022496281]	[0.017154444..0.02489143]	[0.020242535..0.02219339]	[0.017154444..0.02489143]	
						PG 18:3 (6z-9z)/16:1	[0.0..5.527748E-4]	[0.0..3.0704227E-4]	[0.0..6.1767694E-4]	[0.0..8.856928E-4]	[0.0..8.856928E-4]	
						PG 16:1/18:3 (6z-9z)	[0.009487927..0.013161305]	[0.009338688..0.011809317]	[0.009137946..0.0134277595]	[0.009824954..0.0123012895]	[0.009137946..0.0134277595]	
						PG 18:4 (8z)/16:0	[0.0043064086..0.0049618026]	[0.0040048147..0.005373867]	[0.0043370384..0.0058877105]	[0.0031216117..0.005276034]	[0.0031216117..0.0058877105]	
						PG 16:0/18:4 (8z)	[0.0..0.0]	[0.0..3.761707E-4]	[0.0..0.0]	[0.0..9.707903E-4]	[0.0..9.707903E-4]	
PG 35:1:0	0.68998	0.69444007	0.67526704	0.672442	[0.672442..0.69444007]	Sum	[0.72318506..0.7728872]	[0.74473983..0.7829086]	[0.68797874..0.77052456]	[0.70622087..0.7787172]	[0.68797874..0.7829086]	
						PG 19:1/16:0	[0.037078984..0.05538294]	[0.033065528..0.057202872]	[0.03085688..0.04928438]	[0.030585758..0.053389825]	[0.030585758..0.057202872]	
						PG 16:0/19:1	[0.122255705..0.14498922]	[0.12735677..0.15649481]	[0.12243213..0.15312019]	[0.12001585..0.15671259]	[0.12001585..0.15671259]	
						PG 18:0/17:1	[0.030132428..0.03772455]	[0.03128531..0.040749095]	[0.02715305..0.039394222]	[0.029169368..0.040254798]	[0.02715305..0.040749095]	
						PG 17:1/18:0	[0.0029702988..0.0064999773]	[0.0035722407..0.007564473]	[0.002993527..0.009859318]	[0.0027046716..0.0064687408]	[0.0027046716..0.009859318]	
						PG 18:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/18:1	[0.51120687..0.54976726]	[0.5252671..0.5586591]	[0.48666003..0.54170054]	[0.50560284..0.5593498]	[0.48666003..0.5593498]	
PG 35:2:0	0.44498676	0.4228879	0.40380162	0.39153212	[0.39153212..0.44498676]	Sum	[0.5404592..0.56823295]	[0.5167913..0.5605735]	[0.48830694..0.5799965]	[0.53582525..0.6064107]	[0.48830694..0.6064107]	
						PG 19:1/16:1	[0.0..0.0054618362]	[0.0023408893..0.0035215837]	[0.0011304779..0.003941658]	[0.0026297998..0.0043384098]	[0.0..0.0054618362]	
						PG 16:1/19:1	[6.224417E-4..0.0070932945]	[0.0026469228..0.0039175013]	[0.0013783134..0.00427061]	[0.0020797763..0.0036845831]	[6.224417E-4..0.0070932945]	
						PG 19:2/16:0	[0.0087491255..0.014714425]	[0.010792725..0.016127294]	[0.010425343..0.020482887]	[0.01015825..0.014859897]	[0.0087491255..0.020482887]	
						PG 16:0/19:2	[0.013573409..0.019902581]	[0.012508492..0.017951917]	[0.009461443..0.0192415]	[0.0137653565..0.019061448]	[0.009461443..0.019902581]	
						PG 18:1/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:1/18:1	[0.13779013..0.15274201]	[0.1336705..0.14065811]	[0.12680265..0.15540335]	[0.1429143..0.15692167]	[0.12680265..0.15692167]	
						PG 18:2/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/18:2	[0.36697575..0.39218253]	[0.34903854..0.38584432]	[0.3317905..0.39353788]	[0.36065874..0.41178453]	[0.3317905..0.41178453]	
PG 35:3:0	0.06269859	0.05851931	0.056814615	0.05392724	[0.05392724..0.06269859]	Sum	[0.11695088..0.13817087]	[0.11945643..0.13920802]	[0.108238004..0.14398183]	[0.11927929..0.14247294]	[0.108238004..0.14398183]	
						PG 20:3 (5z-11z)/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:0/20:3 (5z-11z)	[0.00536632..0.0074949316]	[0.005449509..0.0075099366]	[0.0053711925..0.008047047]	[0.005777472..0.008449622]	[0.00536632..0.008449622]	
						PG 19:2/16:1	[2.4323749E-4..4.2212787E-4]	[3.4791528E-4..7.9433364E-4]	[2.3953285E-4..7.631342E-4]	[3.948959E-4..6.3492317E-4]	[2.3953285E-4..7.9433364E-4]	
						PG 16:1/19:2	[3.6152927E-4..5.54301E-4]	[1.5093385E-4..5.713797E-4]	[0.0..3.4951547E-4]	[3.52275E-4..5.8263534E-4]	[0.0..5.8263534E-4]	
						PG 19:3 (6z-9z)/16:0	[6.0696056E-4..0.0067370604]	[0.0023077133..0.007612314]	[0.0030427764..0.010628266]	[0.0017550959..0.007436412]	[6.0696056E-4..0.010628266]	
						PG 16:0/19:3 (6z-9z)	[0.007679909..0.01686038]	[0.008198833..0.014922271]	[0.006554766..0.015498733]	[0.007766645..0.014821889]	[0.006554766..0.01686038]	
						PG 18:1/17:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:2/18:1	[0.01094386..0.011225362]	[0.011766795..0.0125380475]	[0.010285887..0.013224983]	[0.011892512..0.0128294565]	[0.010285887..0.013224983]	
						PG 18:2/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:1/18:2	[0.08537083..0.091118485]	[0.08348103..0.09114393]	[0.0784352..0.09204812]	[0.08378738..0.09485988]	[0.0784352..0.09485988]	
						PG 18:3 (6z-9z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/18:3 (6z-9z)	[0.0045986325..0.0056645484]	[0.0045250887..0.0060166847]	[0.0038496095..0.005720725]	[0.0047865384..0.005551829]	[0.0038496095..0.0060166847]	
PG 36:1:0	15.210805	16.211384	16.60184	16.319956	[15.210805..16.60184]	Sum	[19.401663..20.572123]	[18.728886..20.615835]	[16.068472..21.035105]	[19.165998..21.58356]	[16.068472..21.58356]	
						PG 20:1/16:0	[0.0..0.06730071]	[0.009112675..0.07010664]	[0.0..0.02832984]	[0.004911086..0.050609678]	[0.0..0.07010664]	
						PG 16:0/20:1	[0.29754534..0.40059942]	[0.2626403..0.35307595]	[0.2489892..0.39901185]	[0.3048381..0.38092473]	[0.2489892..0.40059942]	
						PG 18:0/18:1	[19.001062..20.214495]	[18.403435..20.252588]	[15.687102..20.636093]	[18.779667..21.232769]	[15.687102..21.232769]	
						PG 18:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.14445266]	[0.0..0.0]	[0.0..0.14445266]	
PG 36:2:0	20.263876	20.206896	20.410593	20.22388	[20.206896..20.410593]	Sum	[18.781502..20.243744]	[20.101805..21.463219]	[18.2837..21.400862]	[20.488178..21.451733]	[18.2837..21.463219]	
						PG 20:2/16:0	[0.0..0.01628606]	[0.0..0.07693203]	[0.0..0.043896504]	[0.0..0.033718213]	[0.0..0.07693203]	
						PG 16:0/20:2	[0.34736466..0.41759124]	[0.34788486..0.46067083]	[0.34971523..0.44339904]	[0.36118594..0.45565152]	[0.34736466..0.46067083]	
						PG 18:0/18:2	[14.234107..15.370806]	[15.177246..16.31801]	[13.708555..16.04484]	[15.326159..16.284449]	[13.708555..16.31801]	
						PG 18:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 18:1/18:1	[4.1377797..4.5836587]	[4.5011..4.684538]	[4.1870036..4.9190965]	[4.7008185..4.77197]	[4.1377797..4.9190965]	
PG 36:3:0	4.6300645	4.602202	4.70106	4.5493526	[4.5493526..4.70106]	Sum	[3.9613748..4.626057]	[4.141524..4.791439]	[3.8649597..4.9147525]	[4.4760284..5.126134]	[3.8649597..5.126134]	
						PG 20:3 (5z-11z)/16:0	[0.0..0.0]	[0.0..0.08888755]	[0.0..0.0]	[0.0..0.05173309]	[0.0..0.08888755]	
						PG 16:0/20:3 (5z-11z)	[1.0274678..1.3602676]	[0.99842024..1.4109133]	[1.0368325..1.5266782]	[1.164727..1.5676694]	[0.99842024..1.5676694]	
						PG 18:0/18:3 (6z-9z)	[0.09494725..0.13077617]	[0.12144018..0.15736601]	[0.10273425..0.14094374]	[0.11164232..0.14094673]	[0.09494725..0.15736601]	
						PG 18:3 (6z-9z)/18:0	[0.0..0.017262453]	[0.0..0.0036194182]	[0.0..0.0032417062]	[0.0..0.011416686]	[0.0..0.017262453]	
						PG 18:1/18:2	[2.4649808..2.7689188]	[2.604674..2.7424517]	[2.3281238..3.1137583]	[2.7060783..3.028801]	[2.3281238..3.1137583]	
						PG 18:2/18:1	[0.32648036..0.39734766]	[0.3746863..0.43203008]	[0.20056014..0.4741252]	[0.3107909..0.4639007]	[0.20056014..0.4741252]	
PG 36:4:0	6.3716254	6.180166	6.316886	6.2567716	[6.180166..6.3716254]	Sum	[4.8794675..6.582287]	[5.1383767..5.846499]	[4.9253416..6.26405]	[5.4348216..6.2184343]	[4.8794675..6.582287]	
						PG 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:0/20:4 (5z-8z)	[4.451983..6.016297]	[4.6868553..5.3480763]	[4.5105824..5.7511415]	[4.939858..5.706345]	[4.451983..6.016297]	
						PG 18:1/18:3 (6z-9z)	[0.026870193..0.051557623]	[0.021114752..0.040968988]	[0.018956712..0.049416825]	[0.018254215..0.03682415]	[0.018254215..0.051557623]	
						PG 18:3 (6z-9z)/18:1	[0.023586802..0.047658972]	[0.029137075..0.050348338]	[0.018456202..0.04885607]	[0.029492356..0.04951971]	[0.018456202..0.050348338]	
						PG 18:2/18:2	[0.36988664..0.46677345]	[0.39865014..0.43686306]	[0.37734616..0.45291856]	[0.43162444..0.47006735]	[0.36988664..0.47006735]	
PG 36:5:0	0.13819999	0.12985788	0.16261035	0.15012664	[0.12985788..0.16261035]	Sum	[0.12571822..0.16469072]	[0.13307767..0.1528934]	[0.12073707..0.16946948]	[0.14455138..0.15835737]	[0.12073707..0.16946948]	
						PG 22:5 (4z-7z)/14:0	[0.0..0.0014759762]	[0.0..5.110367E-4]	[0.0..8.565535E-4]	[0.0..0.0]	[0.0..0.0014759762]	
						PG 14:0/22:5 (4z-7z)	[0.007675436..0.012508272]	[0.009251617..0.011614472]	[0.008151668..0.013596088]	[0.010729452..0.011355407]	[0.007675436..0.013596088]	
						PG 20:4 (5z-8z)/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:1/20:4 (5z-8z)	[0.06281674..0.08858498]	[0.06646018..0.08350718]	[0.06299073..0.091756895]	[0.07153209..0.085523225]	[0.06281674..0.091756895]	
						PG 20:5 (5z)/16:0	[0.004047955..0.012474472]	[0.0038232927..0.011500292]	[0.0046837106..0.013714214]	[0.005027818..0.013118663]	[0.0038232927..0.013714214]	
						PG 16:0/20:5 (5z)	[0.007904968..0.016774544]	[0.008327964..0.016387915]	[0.0065786475..0.016014382]	[0.008879774..0.017553799]	[0.0065786475..0.017553799]	
						PG 18:2/18:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 18:3 (6z-9z)/18:2	[0.03544885..0.040834002]	[0.036829628..0.038458418]	[0.03171791..0.041593343]	[0.03915391..0.041310564]	[0.03171791..0.041593343]	
PG 37:1:0	0.04808137	0.053566013	0.061362598	0.0647466	[0.04808137..0.0647466]	Sum	[0.3073276..0.4306225]	[0.26096538..0.41472137]	[0.2866515..0.41551575]	[0.2807581..0.4522643]	[0.26096538..0.4522643]	
						PG 21:1/16:0	[0.20612653..0.325567]	[0.17049935..0.30559805]	[0.1854163..0.30355617]	[0.18653862..0.33421248]	[0.17049935..0.33421248]	
						PG 16:0/21:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:1/17:0	[5.7081794E-5..4.4675692E-4]	[0.0..4.6794457E-4]	[0.0..1.027307E-4]	[1.10942165E-5..3.8885907E-4]	[0.0..4.6794457E-4]	
						PG 17:0/20:1	[0.0014670022..0.0018923765]	[0.0013853657..0.0021465346]	[0.0014590129..0.0020143276]	[0.0012932686..0.0020985708]	[0.0012932686..0.0021465346]	
						PG 19:0/18:1	[0.0650783..0.06913924]	[0.057321526..0.071391314]	[0.05821098..0.07211717]	[0.061407648..0.07805117]	[0.057321526..0.07805117]	
						PG 18:1/19:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 19:1/18:0	[0.013707609..0.01858338]	[0.014180568..0.019793877]	[0.013657565..0.021813367]	[0.011678888..0.02024607]	[0.011678888..0.021813367]	
						PG 18:0/19:1	[0.015641604..0.0205486]	[0.0140864495..0.019686105]	[0.013312201..0.021396793]	[0.014739132..0.024003863]	[0.013312201..0.024003863]	
PG 37:2:0	0.08966222	0.11028902	0.09709783	0.10409886	[0.08966222..0.11028902]	Sum	[0.16474082..0.19209099]	[0.14886439..0.18626374]	[0.15597273..0.18766092]	[0.15346795..0.19030268]	[0.14886439..0.19209099]	
						PG 22:2/15:0	[0.0..1.7262487E-4]	[0.0..1.5655432E-4]	[2.5160372E-4..8.727362E-4]	[0.0..0.0]	[0.0..8.727362E-4]	
						PG 15:0/22:2	[0.0..3.4524975E-4]	[0.0..3.1310864E-4]	[0.0..5.166599E-4]	[0.0..0.0]	[0.0..5.166599E-4]	
						PG 17:0/20:2	[0.002420937..0.0030929528]	[0.0022929693..0.0036802813]	[0.0021201042..0.0030381333]	[0.0..0.0031809425]	[0.0..0.0036802813]	
						PG 20:2/17:0	[0.0..0.0]	[0.0..7.0661405E-4]	[0.0..6.926944E-4]	[0.0..0.0015904712]	[0.0..0.0015904712]	
						PG 19:0/18:2	[0.07191795..0.082876846]	[0.06732088..0.07708274]	[0.06701945..0.07868558]	[0.06947914..0.081969485]	[0.06701945..0.082876846]	
						PG 18:2/19:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
